Crop year,,1990/91,1991/92,1992/93,1993/94,1994/95,1995/96,1996/97,1997/98,1998/99,1999/00,2000/01,2001/02,2002/03,2003/04,2004/05,2005/06,2006/07,2007/08,2008/09,2009/10,2010/11,2011/12,2012/13,2013/14,2014/15,2015/16,2016/17,2017/18,2018/19,2019/20
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April group,,"10,408","10,708","11,212","11,453","11,506","12,334","13,236","13,805","14,540","14,897","15,451","16,206","16,203","16,819","17,873","18,961","20,103","21,383","21,964","22,695","23,439","24,346","25,171","25,263","25,659","25,948","26,757","27,636","27,900","27,701"
Angola,(R/A),20,30,35,20,25,10,20,40,30,20,20,20,20,15,15,15,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Bolivia (Plurinational State of),(A),25,27,28,29,30,31,32,33,33,34,35,37,38,39,45,41,42,44,45,46,48,49,51,52,54,55,57,59,60,61
Brazil,(A/R),"8,200","8,500","8,900","9,100","9,300","10,100","11,000","11,500","12,200","12,700","13,200","13,590","13,750","14,200","14,946","15,538","16,331","17,110","17,660","18,390","19,132","19,720","20,330","20,085","20,333","20,508","21,225","21,997","22,200","22,000"
Burundi,(A/R),2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2
Ecuador,(A/R),350,350,350,350,350,350,300,300,300,230,200,200,150,150,150,150,150,150,150,150,150,150,150,155,155,155,155,155,155,149
Indonesia,(R/A),"1,242","1,280","1,319","1,359","1,400","1,443","1,486","1,532","1,578","1,626","1,676","2,000","1,779","1,833","2,000","2,500","2,833","3,333","3,333","3,333","3,333","3,667","3,900","4,250","4,417","4,550","4,650","4,750","4,800","4,806"
Madagascar,(R),350,300,350,360,167,167,167,167,167,56,89,128,217,333,467,467,467,467,467,467,467,450,430,410,390,370,360,365,375,375
Malawi,(A),2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Papua New Guinea,(A/R),3,3,3,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2
Paraguay,(A),15,15,15,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Peru,(A),190,190,200,200,200,200,200,200,200,200,200,200,220,220,220,220,220,220,250,250,250,250,250,250,250,250,250,250,250,250
Rwanda,(A),1,1,1,1,1,1,1,3,3,2,2,2,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Timor-Leste,(A),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zimbabwe,(A),8,8,8,8,8,7,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July group,,"1,482","1,621","1,618","1,636","1,666","1,701","1,696","1,724","1,686","1,745","1,717","1,740","1,752","1,852","2,003","2,033","2,053","2,053","2,709","2,808","3,113","3,175","3,338","3,570","3,828","4,043","4,074","4,225","4,350","4,286"
Congo,(R),3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Cuba,(A),213,213,195,194,194,194,189,195,200,200,213,220,224,224,224,224,224,224,220,220,220,220,220,220,220,220,220,220,220,216
Dominican Republic,(A/R),320,320,320,320,330,350,325,325,325,325,325,340,340,340,378,378,378,378,378,378,378,378,378,383,388,388,390,390,390,377
Haiti,(A),220,330,330,330,330,330,330,330,330,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,345,345
Philippines,(R/A),720,750,750,770,790,810,831,853,810,862,820,821,829,917,"1,020","1,040","1,060","1,060","1,720","1,820","2,125","2,175","2,325","2,550","2,800","3,000","3,030","3,180","3,300","3,250"
Tanzania,(A/R),4,4,19,18,18,14,17,17,17,14,15,15,15,27,37,47,47,47,47,47,47,59,72,73,77,92,91,92,92,95
Zambia,(A),2,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October group,,"7,620","7,900","8,121","8,010","8,188","8,567","8,581","8,743","8,891","9,100","9,900","10,364","10,797","11,162","11,538","12,149","12,818","13,475","13,729","14,196","15,094","15,672","16,144","16,492","16,987","17,358","17,502","17,825","17,994","17,994"
Cameroon,(R/A),83,83,83,100,100,100,100,100,100,100,75,69,69,69,69,69,69,69,69,69,68,70,72,73,75,76,77,78,78,77
Central African Republic,(R),28,28,28,25,15,10,10,10,19,21,3,3,4,4,3,3,3,3,5,8,10,13,17,20,20,20,20,20,20,20
Colombia,(A),"1,235","1,269","1,303","1,339","1,375","1,359","1,343","1,328","1,312","1,297","1,282","1,267","1,252","1,237","1,223","1,209","1,195","1,281","1,291","1,274","1,311","1,435","1,514","1,617","1,665","1,720","1,736","1,793","1,791","2,025"
Costa Rica,(A),375,375,375,375,375,375,375,375,375,375,375,375,375,375,375,375,375,375,268,295,407,381,423,335,381,449,329,353,365,352
Côte d'Ivoire,(R),50,50,50,50,50,50,50,50,50,50,317,317,317,317,317,317,317,317,317,317,317,317,317,317,317,317,317,317,317,317
Democratic Republic of Congo,(R/A),200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,198
El Salvador,(A),180,180,230,230,230,270,230,192,192,153,144,153,153,153,173,224,254,251,244,268,276,273,277,275,280,285,292,300,300,292
Equatorial Guinea,(R),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ethiopia,(A),"1,200","1,264","1,331","1,402","1,476","1,555","1,637","1,724","1,816","1,912","2,014","2,121","2,234","2,353","2,478","2,609","2,748","2,894","3,048","3,109","3,171","3,235","3,299","3,365","3,433","3,501","3,571","3,643","3,685","3,781"
Gabon,(R),2,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
Ghana,(R),17,17,17,17,28,28,3,3,1,1,1,1,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2
Guatemala,(A/R),300,300,300,310,310,310,300,300,300,300,300,300,300,300,300,300,300,300,335,320,340,350,360,370,380,390,390,395,395,393
Guinea,(R),25,25,63,33,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
Guyana,(R),0,0,0,0,0,0,0,0,5,4,2,4,4,5,6,6,6,7,8,8,9,9,9,9,9,9,9,9,9,9
Honduras,(A),188,257,240,230,253,161,168,161,138,168,230,200,200,200,230,230,230,245,268,307,335,340,345,350,355,365,370,375,375,350
India,(R/A),903,917,917,833,835,837,838,839,900,925,975,"1,067","1,133","1,167","1,202","1,238","1,275","1,350","1,275","1,325","1,325","1,325","1,375","1,400","1,430","1,450","1,440","1,470","1,475","1,450"
Jamaica,(A),7,11,6,10,15,15,18,20,15,11,12,10,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
